HAUL ID,Year,Date,Sea,Ices division,Predator Latin name,Predator common name,Pooled,Mean length of predator,Prey Latin name,Prey common name,Prey group,Predator ID,Number of stomachs,Prey Length,Minimum number
CLION11-83-54,1983,22/09/1983,Irish Sea,VIIa,LOPHIIDAE,ANGLER FISHES,n,55,SCOMBER SCOMBRUS,MACKEREL,Teleost,CLION11-83-54\ANF-4,1,,1
PASCOE-1982-1,1982,16/06/1982,Channel,VIIe,ALOPIAS VULPINUS,THRESHER SHARK,n,587,SCOMBER SCOMBRUS,MACKEREL,Teleost,PASCOE-1982-1/ATH-1,1,25.3,1
GLAUCUS-2012-S1,2012,01/08/2012,Channel,VIId,THUNNUS THYNNUS,BLUE-FIN TUNNY,n,55.5,SCOMBER SCOMBRUS,MACKEREL,Teleost,GLAUCUS-2012-S1/BFT-1,1,,1
LOOE-1972-S1,1972,1972,Channel,VIIe,PRIONACE GLAUCA,BLUE SHARK,y,188.1,SCOMBER SCOMBRUS,MACKEREL,Teleost,LOOE-1972-S1/BSH-1,98,,23
GA-REAY-11-82-18,1982,12/10/1982,North Sea,IVa,GADUS MORHUA,COD,y,84.5,SCOMBER SCOMBRUS,MACKEREL,Teleost,GA-REAY-11-82-18\COD-4,4,35.00,1
GA-REAY-11-82-24,1982,13/10/1982,North Sea,IVa,GADUS MORHUA,COD,y,84.5,SCOMBER SCOMBRUS,MACKEREL,Teleost,GA-REAY-11-82-24\COD-2,22,,1
GA-REAY-11-82-7,1982,08/10/1982,North Sea,IVa,GADUS MORHUA,COD,y,84.5,SCOMBER SCOMBRUS,MACKEREL,Teleost,GA-REAY-11-82-7\COD-5,2,42.00,1
CORY08-88-21,1988,28/10/1988,North Sea,IVc,GADUS MORHUA,COD,n,64,SCOMBER SCOMBRUS,MACKEREL,Teleost,CORY08-88-21\COD-31,1,,1
CLION-12-1982-NW,1982,,Irish Sea,VIIa,GADUS MORHUA,COD,y,81,SCOMBER SCOMBRUS,MACKEREL,Teleost,CLION-12-1982-NW\COD-11,4,,1
GRAHAM-1923-IV,1923,16/05/1923,North Sea,IVa,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-IV\COD-1,50,,2
GRAHAM-1923-L,1923,30/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-L\COD-1,57,,1.14
GRAHAM-1923-LII,1923,01/08/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-LII\COD-1,111,,11.1
GRAHAM-1923-V,1923,17/05/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-V\COD-1,37,,5.18
GRAHAM-1923-VI,1923,24/05/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-VI\COD-1,33,,0.99
GRAHAM-1923-VII,1923,25/05/1923,North Sea,IVa,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-VII\COD-1,41,,2.05
GRAHAM-1923-X,1923,31/05/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-X\COD-1,39,,1.17
GRAHAM-1923-XL,1923,24/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XL\COD-1,189,,5.67
GRAHAM-1923-XLI,1923,25/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XLI\COD-1,56,,1.12
GRAHAM-1923-XLII,1923,25/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XLII\COD-1,129,,1.29
GRAHAM-1923-XLIII,1923,26/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XLIII\COD-1,102,,8.16
GRAHAM-1923-XLIV,1923,26/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XLIV\COD-1,35,,5.6
GRAHAM-1923-XLIX,1923,28/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XLIX\COD-1,83,,5.81
GRAHAM-1923-XLVI,1923,26/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XLVI\COD-1,87,,2.61
GRAHAM-1923-XLVII,1923,27/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XLVII\COD-1,30,,0.9
GRAHAM-1923-XLVIII,1923,27/07/1923,North Sea,IVa,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XLVIII\COD-1,163,,17.93
GRAHAM-1923-XVII,1923,18/06/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XVII\COD-1,32,,0.96
GRAHAM-1923-XXII,1923,26/06/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXII\COD-1,82,,1.64
GRAHAM-1923-XXIV,1923,04/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXIV\COD-1,59,,12.98
GRAHAM-1923-XXIX,1923,12/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXIX\COD-1,62,,1.86
GRAHAM-1923-XXV,1923,06/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXV\COD-1,47,,6.11
GRAHAM-1923-XXVI,1923,10/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXVI\COD-1,81,,7.29
GRAHAM-1923-XXVII,1923,11/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXVII\COD-1,133,,10.64
GRAHAM-1923-XXVIII,1923,11/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXVIII\COD-1,148,,5.92
GRAHAM-1923-XXX,1923,13/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXX\COD-1,133,,26.6
GRAHAM-1923-XXXI,1923,13/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXXI\COD-1,91,,13.65
GRAHAM-1923-XXXII,1923,16/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXXII\COD-1,38,,1.9
GRAHAM-1923-XXXIII,1923,17/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXXIII\COD-1,71,,9.94
GRAHAM-1923-XXXIV,1923,18/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXXIV\COD-1,130,,5.2
GRAHAM-1923-XXXIX,1923,21/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXXIX\COD-1,86,,0.86
GRAHAM-1923-XXXV,1923,19/07/1923,North Sea,IVa,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXXV\COD-1,157,,4.71
GRAHAM-1923-XXXVI,1923,19/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXXVI\COD-1,182,,18.2
GRAHAM-1923-XXXVII,1923,19/07/1923,North Sea,IVb,GADUS MORHUA,COD,y,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,GRAHAM-1923-XXXVII\COD-1,82,,1.64
HUXLEY-1906-LXXIII-14,1906,02/05/1906,North Sea,IVc,GADUS MORHUA,COD,n,105,SCOMBER SCOMBRUS,MACKEREL,Teleost,HUXLEY-1906-LXXIII-14\COD-1,1,,1
HUXLEY-1906-LXXIV-5,1906,11/05/1906,North Sea,IVc,GADUS MORHUA,COD,n,96,SCOMBER SCOMBRUS,MACKEREL,Teleost,HUXLEY-1906-LXXIV-5\COD-1,1,28,1
CIROL10-91-28,1991,06/12/1991,Celtic Sea,VIIf,GADUS MORHUA,COD,n,94,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL10-91-28\COD-90,1,23,1
CIROL10-91-28,1991,06/12/1991,Celtic Sea,VIIf,GADUS MORHUA,COD,n,94,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL10-91-28\COD-90,1,25,1
CIROL10-91-28,1991,06/12/1991,Celtic Sea,VIIf,GADUS MORHUA,COD,n,94,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL10-91-28\COD-90,1,26,1
CIROL10-91-28,1991,06/12/1991,Celtic Sea,VIIf,GADUS MORHUA,COD,n,94,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL10-91-28\COD-90,1,28,1
CIROL10-91-28,1991,06/12/1991,Celtic Sea,VIIf,GADUS MORHUA,COD,n,94,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL10-91-28\COD-90,1,29,1
CIROL10-91-28,1991,06/12/1991,Celtic Sea,VIIf,GADUS MORHUA,COD,n,94,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL10-91-28\COD-90,1,35,1
CIROL10-91-28,1991,06/12/1991,Celtic Sea,VIIf,GADUS MORHUA,COD,n,94,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL10-91-28\COD-90,1,27,4
CIROL10-91-49,1991,12/12/1991,Celtic Sea,VIIj,GADUS MORHUA,COD,n,99,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL10-91-49\COD-148,1,14,15
CIROL03-93-3,1993,05/03/1993,Celtic Sea,VIIf,GADUS MORHUA,COD,n,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-3\COD-2698,1,21,1
CIROL03-93-3,1993,05/03/1993,Celtic Sea,VIIf,GADUS MORHUA,COD,n,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-3\COD-2698,1,21,1
CIROL03-93-3,1993,05/03/1993,Celtic Sea,VIIf,GADUS MORHUA,COD,n,74,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-3\COD-2698,1,24,1
CIROL03-93-3,1993,05/03/1993,Celtic Sea,VIIf,GADUS MORHUA,COD,n,75,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-3\COD-2699,1,20,1
CIROL03-93-3,1993,05/03/1993,Celtic Sea,VIIf,GADUS MORHUA,COD,n,75,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-3\COD-2699,1,27,1
CIROL03-93-3,1993,05/03/1993,Celtic Sea,VIIf,GADUS MORHUA,COD,n,75,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-3\COD-2699,1,26,2
CIROL03-93-3,1993,05/03/1993,Celtic Sea,VIIf,GADUS MORHUA,COD,n,77,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-3\COD-2700,1,26,1
CIROL03-93-3,1993,05/03/1993,Celtic Sea,VIIf,GADUS MORHUA,COD,n,77,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-3\COD-2700,1,27,1
CIROL03-93-3,1993,05/03/1993,Celtic Sea,VIIf,GADUS MORHUA,COD,n,72,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-3\COD-2706,1,26,1
CIROL03-93-3,1993,05/03/1993,Celtic Sea,VIIf,GADUS MORHUA,COD,n,72,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-3\COD-2706,1,27,1
CIROL03-93-53,1993,22/03/1993,Celtic Sea,VIIj,GADUS MORHUA,COD,n,41,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-53\COD-2743,1,18,1
CIROL04-92-1,1992,20/03/1992,Channel,VIIe,GADUS MORHUA,COD,n,46,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL04-92-1\COD-274,1,,1
CIROL04-92-65,1992,09/04/1992,Celtic Sea,VIIf,GADUS MORHUA,COD,n,57,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL04-92-65\COD-267,1,21,2
CIROL04-92-65,1992,09/04/1992,Celtic Sea,VIIf,GADUS MORHUA,COD,n,48,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL04-92-65\COD-285,1,20,1
CIROL07-82-138,1982,28/08/1982,North Sea,IVa ,GADUS MORHUA,COD,y,84.5,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL07-82-138\COD-1,5,,1
CIROL07-82-156,1982,30/08/1982,North Sea,IVa ,GADUS MORHUA,COD,y,100,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL07-82-156\COD-1,3,,3
CIROL07-82-180,1982,02/09/1982,North Sea,IVb,GADUS MORHUA,COD,y,84.5,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL07-82-180\COD-2,3,35.00,2
CIROL07-82-62,1982,17/08/1982,North Sea,IVb,GADUS MORHUA,COD,y,84.5,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL07-82-62\COD-1,4,,3
CIROL07-82-62,1982,17/08/1982,North Sea,IVb,GADUS MORHUA,COD,y,84.5,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL07-82-62\COD-1,4,28.00,1
CIROL07-82-99,1982,22/08/1982,North Sea,IVa ,GADUS MORHUA,COD,y,100,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL07-82-99\COD-1,4,40.00,1
CIROL07-82-99,1982,22/08/1982,North Sea,IVa ,GADUS MORHUA,COD,y,100,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL07-82-99\COD-1,4,,1
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,GADUS MORHUA,COD,n,100,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\COD-8314,1,27,1
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,GADUS MORHUA,COD,n,100,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\COD-8314,1,28,1
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,GADUS MORHUA,COD,n,100,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\COD-8314,1,31,1
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,GADUS MORHUA,COD,n,100,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\COD-8314,1,33,1
CLION11-83-57,1983,23/09/1983,Irish Sea,VIIa,CONGER CONGER,EUROPEAN CONGER EEL,n,92,SCOMBER SCOMBRUS,MACKEREL,Teleost,CLION11-83-57\COE-2,1,,1
SCOTLAND-1901-S79,1901,16/08/1900,North Sea,IVb,CONGER CONGER,EUROPEAN CONGER EEL,n,144,SCOMBER SCOMBRUS,MACKEREL,Teleost,SCOTLAND-1901-S79/COE-4,1,,1
CIROL03-91-52,1991,29/03/1991,Biscay,VIIIa,LEUCORAJA NAEVUS,CUCKOO RAY,n,58,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-52\CUR-1001302,1,,1
CIROL03-91-54,1991,29/03/1991,Biscay,VIIId,LEUCORAJA NAEVUS,CUCKOO RAY,n,58,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-54\CUR-1001309,1,20,1
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,71,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\DGS-1005826,1,18,2
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,73,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\DGS-1005828,1,,1
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,76,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\DGS-1005830,1,,2
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,76,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\DGS-1005831,1,,1
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,64,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\DGS-1005832,1,,1
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,57,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\DGS-1005833,1,,1
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,66,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\DGS-1005834,1,,1
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,70,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\DGS-1005835,1,,1
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,76,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\DGS-1005838,1,26,1
CIROL03-91-60,1991,31/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,82,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-60\DGS-1005840,1,,1
CIROL03-93-13,1993,08/03/1993,Celtic Sea,VIIg,SQUALUS ACANTHIAS,SPURDOG,n,82,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-13\DGS-1007642,1,23,1
CIROL03-93-13,1993,08/03/1993,Celtic Sea,VIIg,SQUALUS ACANTHIAS,SPURDOG,n,82,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-93-13\DGS-1007642,1,27,1
CIROL03-91-2,1991,10/03/1991,Celtic Sea,VIIg,SQUALUS ACANTHIAS,SPURDOG,n,63,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-2\DGS-1002732,1,,1
CIROL03-91-3,1991,10/03/1991,Celtic Sea,VIIg,SQUALUS ACANTHIAS,SPURDOG,n,76,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-3\DGS-1002736,1,27,1
CIROL03-91-38,1991,25/03/1991,Celtic Sea,VIIj,SQUALUS ACANTHIAS,SPURDOG,n,92,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-38\DGS-1006576,1,25,1
CIROL03-91-49,1991,28/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,75,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-49\DGS-1001287,1,,1
CIROL03-91-49,1991,28/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,97,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-49\DGS-1001288,1,32,1
CIROL03-91-50,1991,28/03/1991,Celtic Sea,VIIh,SQUALUS ACANTHIAS,SPURDOG,n,77,SCOMBER SCOMBRUS,MACKEREL,Teleost,CIROL03-91-50\DGS-1001755,1,,1
